point_id,x,y,z
1,-0.000535055,-0.0153349,0.000312494
2,-0.000533055,-0.0153349,0.000312494
3,-0.000535055,-0.0153329,0.000312494
4,-0.000533055,-0.0153329,0.000312494
5,-0.000535055,-0.0153349,0.000314494
6,-0.000533055,-0.0153349,0.000314494
7,-0.000535055,-0.0153329,0.000314494
8,-0.000533055,-0.0153329,0.000314494
9,-0.000535055,-0.0153349,0.000314494
10,-0.000533055,-0.0153349,0.000314494
11,-0.000535055,-0.0153329,0.000314494
12,-0.000533055,-0.0153329,0.000314494
13,-0.000535055,-0.0153349,0.000316494
14,-0.000533055,-0.0153349,0.000316494
15,-0.000535055,-0.0153329,0.000316494
16,-0.000533055,-0.0153329,0.000316494
17,-0.000535055,-0.0153349,0.000316494
18,-0.000533055,-0.0153349,0.000316494
19,-0.000535055,-0.0153329,0.000316494
20,-0.000533055,-0.0153329,0.000316494
21,-0.000535055,-0.0153349,0.000318494
22,-0.000533055,-0.0153349,0.000318494
23,-0.000535055,-0.0153329,0.000318494
24,-0.000533055,-0.0153329,0.000318494
25,-0.000535055,-0.0153349,0.000318494
26,-0.000533055,-0.0153349,0.000318494
27,-0.000535055,-0.0153329,0.000318494
28,-0.000533055,-0.0153329,0.000318494
29,-0.000535055,-0.0153349,0.000320494
30,-0.000533055,-0.0153349,0.000320494
31,-0.000535055,-0.0153329,0.000320494
32,-0.000533055,-0.0153329,0.000320494
33,-0.000535055,-0.0153329,0.000312494
34,-0.000533055,-0.0153329,0.000312494
35,-0.000535055,-0.0153309,0.000312494
36,-0.000533055,-0.0153309,0.000312494
37,-0.000535055,-0.0153329,0.000314494
38,-0.000533055,-0.0153329,0.000314494
39,-0.000535055,-0.0153309,0.000314494
40,-0.000533055,-0.0153309,0.000314494
41,-0.000535055,-0.0153329,0.000314494
42,-0.000533055,-0.0153329,0.000314494
43,-0.000535055,-0.0153309,0.000314494
44,-0.000533055,-0.0153309,0.000314494
45,-0.000535055,-0.0153329,0.000316494
46,-0.000533055,-0.0153329,0.000316494
47,-0.000535055,-0.0153309,0.000316494
48,-0.000533055,-0.0153309,0.000316494
49,-0.000535055,-0.0153329,0.000316494
50,-0.000533055,-0.0153329,0.000316494
51,-0.000535055,-0.0153309,0.000316494
52,-0.000533055,-0.0153309,0.000316494
53,-0.000535055,-0.0153329,0.000318494
54,-0.000533055,-0.0153329,0.000318494
55,-0.000535055,-0.0153309,0.000318494
56,-0.000533055,-0.0153309,0.000318494
57,-0.000535055,-0.0153329,0.000318494
58,-0.000533055,-0.0153329,0.000318494
